idDBLP,idScholar,DBLP_Match,Scholar_Match,Match_ID
journals/sigmod/EisenbergM02,wgK6p4mDSIMJ,2,63690,2_63690
conf/vldb/AmmannJR95,x-H7BqZ0Hw8J,3,21171,3_21171
conf/vldb/SubietaKL95,gEFY87Ma0XUJ,7,38991,7_38991
journals/sigmod/BargaL02,QTzV3iNq2O8J,8,40746,8_40746
conf/vldb/MoserKK95,53hNU_r6-jgJ,10,35557,10_35557
conf/vldb/ChaudhuriGS95,77Sb5mlyASgJ,12,46614,12_46614
journals/sigmod/Kosch02,_avm808LQocJ,13,27627,13_27627
conf/vldb/LuTD95,qX-uYKXVk7EJ,14,49866,14_49866
conf/vldb/TreschPL95,1rPUqMFsS3AJ,16,3179,16_3179
conf/vldb/MehtaD95,xkvXoYlg2-cJ,18,35913,18_35913
conf/vldb/HaasNSS95,x70Y3qaTL40J,21,14199,21_14199
journals/sigmod/Aberer02,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D604274%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,22,6685,22_6685
conf/vldb/FlodinR95,WmtiDGY_BdoJ,23,36538,23_36538
conf/vldb/HvasshovdTBH95,LVitsyrkl9AJ,25,32465,25_32465
conf/vldb/LuSL95,h7_7SZrI7M0J,27,49913,27_49913
journals/sigmod/ErdurD02,9OcrAEypDhMJ,28,60000,28_60000
conf/vldb/GallersdorferN95,U8jfPCxfXicJ,29,17753,29_17753
journals/sigmod/CiliaB02,Y1HVgTopekIJ,30,23455,30_23455
journals/sigmod/HummerLW02,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D507345%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,31,62916,31_62916
journals/sigmod/HummerLW02,W1IcM8IUwAEJ,31,27486,31_27486
conf/vldb/LometT95,7KawVN8Kj10J,32,28921,32_28921
conf/vldb/Wang95,7FUOWtSbiogJ,33,61219,33_61219
conf/vldb/SumiyaYTSI95,ZoMjwB0ps2kJ,35,55210,35_55210
journals/sigmod/HalkidiBV02,GHjgDrEbqM4J,38,11886,38_11886
journals/sigmod/PourabbasR02,QyNfyYDySawJ,39,60341,39_60341
conf/vldb/HoelS95,hwBMsP8-fXcJ,40,2552,40_2552
journals/sigmod/SlivinskasJS02,xTPSs2k_pUIJ,41,43603,41_43603
conf/vldb/BrownS95,F-v-VG2RBQoJ,42,2163,42_2163
conf/vldb/LeslieJBY95,zmwPMSd8rGgJ,44,63634,44_63634
conf/vldb/OrensteinK95,Trw6DEZeqTsJ,46,19246,46_19246
journals/sigmod/Wiegand02,RAcoVQuEzD8J,49,61163,49_61163
journals/sigmod/OrlandicLS02,eLf0eStn5G4J,51,36934,51_36934
conf/vldb/WienerN95,Y1lEnVPl6d8J,52,6362,52_6362
